ref_authors,ref_code,ref_year,ref_title,ref_journal,ref_abstract,ref_query,ref_pmid,ref_notes,,prisma_coder1,prisma_coder2,prisma_excluded_screening,prisma_excluded_screening_reason,prisma_check_full_text,prisma_excluded_fulltext,prisma_excluded_fulltext_reason,prisma_included_sysreview,prisma_included_meta,prisma_excluded_meta_reason,prisma_metacoder1,prisma_metacoder2,prisma_note,,study_desc,study_type,study_relevant_data,,sample_total,sample_exclusion,sample_npergroup,sample_clinical,sample_clinicalgroup,sample_design,sample_justification,sample_justification_note,sample_notes,,eeg_system,eeg_software,eeg_numelec,eeg_reference,eeg_samplingrate,eeg_eog,eeg_notes,,ecg_system,ecg_numelec,ecg_montage,eeg_samplingrate,ecg_notes,,preproc_highpass,preproc_lowpass,preproc_addfilter,preproc_art_ICA,preproc_art_thresh,preproc_art_visual,preproc_art_eogcorr,preproc_art_reportleft,preproc_art_percemoved,preproc_ecg_correction,preproc_ecg_corr_method,preproc_timelock,prerproc_epochstart,preproc_epochend,preproc_base_startend,preproc_baseline,preproc_notes,,task_conditions,task_numfactors,task_epochsperconditions,task_notes,,hep_scoring,hep_timewin,hep_timewin_just,hep_timewinnum,hep_locations,hep_location_just,hep_locationsnum,hep_clusters,hep_numclusters,hep_circularity,hep_notes,,comp_tests,comp_parameteric,comp_numfactors,comp_numcells,comp_numanovas,comp_correction_main,comp_correction_posthoc,comp_sphericity,comp_hypostring,comp_judghypo,comp_effectsize,comp_exhaust,comp_notes,,corr_tests,corr_parameteric,corr_numcorr,corr_measure,corr_exhaust,corr_locations,corr_location_just,corr_correction,corr_hypostring,corr_judghypo,corr_corrftoz,corr_notes,,meta_attention,meta_correlation,meta_group,meta_arousal,meta_training,meta_ecg,meta_brain
"Park, Bernasconi, Bello-Ruiz, Pfeiffer, Salomon, Blanke",Park2016,2016,Transient Modulations of Neural Responses to Heartbeats Covary with Bodily Self-Consciousness.,The Journal of neuroscience : the official journal of the Society for Neuroscience,Recent research has investigated self-consciousness associated with the multisensory processing of bodily signals (e.g.  somatosensory  visual  vestibular signals)  a notion referred to as bodily self-consciousness  and these studies have shown that the manipulation of bodily inputs induces changes in bodily self-consciousness such as self-identification. Another line of research has highlighted the importance of signals from the inside of the body (e.g.  visceral signals) and proposed that neural representations of internal bodily signals underlie self-consciousness  which to date has been based on philosophical inquiry  clinical case studies  and behavioral studies. Here  we investigated the relationship of bodily self-consciousness with the neural processing of internal bodily signals. By combining electrical neuroimaging  analysis of peripheral physiological signals  and virtual reality technology in humans  we show that transient modulations of neural responses to heartbeats in the posterior cingulate cortex covary with changes in bodily self-consciousness induced by the full-body illusion. Additional analyses excluded that measured basic cardiorespiratory parameters or interoceptive sensitivity traits could account for this finding. These neurophysiological data link experimentally the cortical mapping of the internal body to self-consciousness.</AbstractText>: Recent research has investigated self-consciousness associated with the multisensory processing of bodily signals (e.g.  somatosensory  visual  vestibular signals)  a notion referred to as bodily self-consciousness  and these studies have shown that the manipulation of bodily inputs induces changes in bodily self-consciousness such as self-identification. Another line of research has highlighted the importance of signals from the inside of the body (e.g.  visceral signals) and proposed that neural representations of internal bodily signals underlie self-consciousness  which to date has been based on philosophical inquiry  clinical case studies  and behavioral studies. Here  we investigated the relationship of bodily self-consciousness with the neural processing of internal bodily signals. By combining electrical neuroimaging  analysis of peripheral physiological signals  and virtual reality technology in humans  we show that transient modulations of neural responses to heartbeats in the posterior cingulate cortex covary with changes in bodily self-consciousness induced by the full-body illusion. Additional analyses excluded that measured basic cardiorespiratory parameters or interoceptive sensitivity traits could account for this finding. These neurophysiological data link experimentally the cortical mapping of the internal body to self-consciousness.What are the brain mechanisms of self-consciousness? Prominent views propose that the neural processing associated with signals from the internal organs (such as the heart and the lung) plays a critical role in self-consciousness. Although this hypothesis dates back to influential views in philosophy and psychology (e.g.  William James)  definitive experimental evidence supporting this idea is lacking despite its recent impact in neuroscience. In the present study  we show that posterior cingulate activities responding to heartbeat signals covary with changes in participants' conscious self-identification with a body that were manipulated experimentally using virtual reality technology. Our finding provides important neural evidence about the long-standing proposal that self-consciousness is linked to the cortical processing of internal bodily signals.</AbstractText>: What are the brain mechanisms of self-consciousness? Prominent views propose that the neural processing associated with signals from the internal organs (such as the heart and the lung) plays a critical role in self-consciousness. Although this hypothesis dates back to influential views in philosophy and psychology (e.g.  William James)  definitive experimental evidence supporting this idea is lacking despite its recent impact in neuroscience. In the present study  we show that posterior cingulate activities responding to heartbeat signals covary with changes in participants' conscious self-identification with a body that were manipulated experimentally using virtual reality technology. Our finding provides important neural evidence about the long-standing proposal that self-consciousness is linked to the cortical processing of internal bodily signals.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",27511016,,,MP,JM,0,,1,0,,1,1,,MP,JM,,,watching 2d vs 3d video ,,no interoception exclude?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Park, Won, Lee, Mun, Park, Whang",Park2015,2015,Evaluation of 3D cognitive fatigue using heart-brain synchronization.,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,The purpose of this study was to identify an evaluation method for 3D cognitive fatigue based on a heart-brain synchronization phenomenon known as the heartbeat evoked potential (HEP). Thirty undergraduate students (15 females) watched a video in both 2D and 3D for an hour. Because visual fatigue is related to cognitive load  the HEP was used as an indicator of communication between the heart and the brain and therefore of cognitive function; responses were compared after 2D and 3D viewing. At the standard EEG sites F3 and F4  the alpha activity of the first and second HEP components was significantly increased after 3D video viewing relative to 2D. This increase likely indicates that sensory input from 3D video requires heavy computation by the brain  stimulating heart activity. The conclusion is that the first and second HEP components are significant parameters that can quantitatively evaluate 3D visual fatigue. Further work is needed to uncover the cause of 3D visual fatigue. ,heartbeat-evoked[All Fields] AND potential[All Fields],25911524,,,MP,JM,0,,1,0,,1,1,,MP,JM,,,watching sync vs async touch,"intero.arousal, intero.correlation",sync vs async touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollatos, Herbert, Mai, Kammer",Pollatos2017,2017,Changes in interoceptive processes following brain stimulation.,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",The processing and perception of individual internal bodily signals (interoception) has been differentiated to comprise different levels and processes involved. The so-called heartbeat-evoked potential (HEP) offers an additional possibility to examine automatic processing of cardiac signals. Knowledge on neural structures potentially supporting different facets of interoception is still sparse. One way to get insights into neuroanatomical function is to manipulate the activity of different brain structures. In this study  we used repetitive transcranial magnetic stimulation (rTMS) and a continuous theta-burst protocol to inhibit specific central locations of the interoceptive network including the right anterior insula and the right somatosensory cortices and assessed effects on interoceptive facets and the HEP in 18 male participants. Main results were that inhibiting anterior insula resulted in a significant decline in cardiac and respiratory interoceptive accuracy (IAc) and in a consistent decrease in perception confidence. Continuous theta-burst stimulation (cTBS) over somatosensory cortices reduced only cardiac IAc and affected perception confidence. Inhibiting right anterior insula and right somatosensory cortices increased interoceptive sensibility and reduced the HEP amplitude over frontocentral locations. Our findings strongly suggest that cTBS is an effective tool to investigate the neural network supporting interoceptive processes.This article is part of the themed issue 'Interoception beyond homeostasis: affect  cognition and mental health'.,heartbeat-evoked[All Fields] AND potential[All Fields],28080973,,,MP,JM,0,,1,0,,1,1,,MP,JM,,,good vs bad hbcounting,"intero.group, intero.correlation",good vs bad on task; corerlation with accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pollatos, Kirsch, Schandry",Pollatos2005,2005,Brain structures involved in interoceptive awareness and cardioafferent signal processing: a dipole source localization study.,Human brain mapping,Afferent signals from the body play an important role for emotional and motivational aspects of behavior. Nevertheless  little is known about the cortical and subcortical structures involved in interoceptive processes. Recently  a functional MRI study demonstrated that insula  somatomotor  and cingulated cortices are activated when subjects focus attention on their heartbeats. Aside from the use of imaging data  cardiac awareness has frequently been studied by using the heartbeat-evoked potential (HEP)  a brain wave that appears contingent on the heartbeat. The present study aimed at localizing sources of the HEP. Multichannel EEG was recorded in 44 subjects while they performed a heartbeat perception task. This task was used to quantify interoceptive awareness and to subdivide the subjects into good and poor heartbeat perceivers. Analyses showed highest HEP amplitudes over frontal and frontocentral electrode locations in the time range of later than 200 ms after R-wave onset. By means of a BESA dipole-source-analysis  four sources of the HEP were identified which were located in the anterior cingulate  the right insula  the prefrontal cortex  and the left secondary somatosensory cortex. Good heartbeat perceivers showed both significantly higher HEP amplitudes and higher dipole strength than poor heartbeat perceivers in all four cortical sources. We conclude that the identified structures are involved in the processing of cardiac signals  whereby anterior cingulate and right insula seem to serve as interoceptive centers for cardioception.,heartbeat-evoked[All Fields] AND potential[All Fields],15852466,,,MP,JM,0,,1,0,,1,1,,MP,JM,,,good vs bad hbcounting,intero.group,good vs bad on task,,44,0,22,no,,between,no,,,,neuroscan,brainvision,62,avgmastoid,1000,yes,,,neuroscan,2,clavicles,1000,,,0.01,100,none,no,80,no,yes,yes,8,yes,hjorth,rpeak,-200,824,not reported,not reported,,,hbcounting,0,not reported,,,mean amplitude,250-450,previous studies,1,FP1-AF3-F1-F9-AF7,all,,right anterior; left anterior; ,12,no,,,anova,yes,3,24,1,none,none,yes,"The present study aimed at
localizing sources of the HEP using a multichannel EEG.
Since the HEP can be used as an indicator of cardiac aware-
ness, we were interested in interactions between the activity
of HEP and its sources with the accuracy of heartbeat per-
ception.",none,etasquared,yes,,,,,,,,,,,,,,,,no,no,yes,no,no,no,yes
"Pollatos, Schandry",Pollatos2004,2004,Accuracy of heartbeat perception is reflected in the amplitude of the heartbeat-evoked brain potential.,Psychophysiology,Neurotransmission from the heart to the brain results in a heartbeat-evoked potential (HEP). In this study  the influence of the ability to detect one's heartbeats based on the HEP was examined. According to their results in a heartbeat perception task  subjects were classified as good (n=18) or poor (n=26) heartbeat perceivers. EEG  EOG  and ECG were recorded while participants attended to their heartbeats. The R-wave of the ECG served as a trigger for EEG averaging. In the latency range of 250-350 ms after the ECG R-wave  the HEP amplitude at the right central location was significantly higher in good heartbeat perceivers. A significantly positive correlation was observed between the heartbeat perception score and the mean HEP amplitude. Our results confirm that the accuracy of heartbeat perception is reflected in the amplitude of the HEP. Thus  the HEP may be a suitable research tool for the study of brain processes related to visceral perception.,heartbeat-evoked[All Fields] AND potential[All Fields],15102134,,,MP,JM,0,,1,0,,1,1,,MP,JM,,,good vs bad hbcounting,"intero.group, intero.correlation",good vs bad on task; correlation with accuracy,,44,0,22,no,,between,no,,,,neuroscan,brainvision,27,avgmastoid,250,yes,,,not reported,2,wrist,250,,,0.1,30,none,no,80,no,yes,yes,16,yes,hjorth,rpeak,-200,824,not reported,not reported,,,hbcounting,0,not reported,"hbcounting, no control",,mean amplitude,250-350,previous studies,1,FC2-FC6-FC1-FC5-F3-F7-FP1-F4-F8-FP2-C3-C4-CP1-CP2-CP5-CP6-P3-P4-P7-P8-T7-T8-O1-O2,all,24,,,no,,,anova,yes,3,28,1,none,none,yes,"The primary hypothesis of the present study was concerned with whether a relationship between heartbeat perception as a trait variable and the amplitude of the HEP exists. Additionally, we wanted to provide further evidence to answer the question concerning which brain regions are involved in the processing of cardio-afferent signals.",partial,partialeta,no,anova is 7 (clusters) x 2 hemispheres x 2 groups,,pearson,yes,1,mean amplitude,yes,C4,double dipping,,"The primary hypothesis of the present study was concerned with whether a relationship between heartbeat perception as a trait variable and the amplitude of the HEP exists. Additionally, we wanted to provide further evidence to answer the question concerning which brain regions are involved in the processing of cardio-afferent signals.",partial,,Double dipping-a single correlation using electrode showing maximum diff,,no,yes,yes,no,no,no,no
"Salamone, Esteves, Sinay, García-Cordero, Abrevaya, Couto, Adolfi, Martorell, Petroni, Yoris, Torquati, Alifano, Legaz, Cassará, Bruno, Kemp, Herrera, García, Ibáñez, Sedeño",Salamone2018,2018,Altered neural signatures of interoception in multiple sclerosis.,Human brain mapping,Multiple sclerosis (MS) patients present several alterations related to sensing of bodily signals. However  no specific neurocognitive impairment has yet been proposed as a core deficit underlying such symptoms. We aimed to determine whether MS patients present changes in interoception-that is  the monitoring of autonomic bodily information-a process that might be related to various bodily dysfunctions. We performed two studies in 34 relapsing-remitting  early-stage MS patients and 46 controls matched for gender  age  and education. In Study 1  we evaluated the heartbeat-evoked potential (HEP)  a cortical signature of interoception  via a 128-channel EEG system during a heartbeat detection task including an exteroceptive and an interoceptive condition. Then  we obtained whole-brain MRI recordings. In Study 2  participants underwent fMRI recordings during two resting-state conditions: mind wandering and interoception. In Study 1  controls exhibited greater HEP modulation during the interoceptive condition than the exteroceptive one  but no systematic differences between conditions emerged in MS patients. Patients presented atrophy in the left insula  the posterior part of the right insula  and the right anterior cingulate cortex  with abnormal associations between neurophysiological and neuroanatomical patterns. In Study 2  controls showed higher functional connectivity and degree for the interoceptive state compared with mind wandering; however  this pattern was absent in patients  who nonetheless presented greater connectivity and degree than controls during mind wandering. MS patients were characterized by atypical multimodal brain signatures of interoception. This finding opens a new agenda to examine the role of inner-signal monitoring in the body symptomatology of MS.,heartbeat-evoked[All Fields] AND potential[All Fields],30076770,,,JM,HH,0,,1,0,,1,1,,MP,JM,,,tapping sound vs tapping hb; ctl vs sclerosis,"intero.attention, intero.group, brain.correlation","intero vs extero; sclerosis vs ctl, VBM correl with HEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schandry, Montoya",Schandry1996,1996,Event-related brain potentials and the processing of cardiac activity.,Biological psychology,The cortical processing of cardiac afferent input can be studied by means of event-related potentials (ERP)  in which characteristic brain waves are seen to accompany rhythmic activity of the heart. In the present paper  results from three studies  investigating the heartbeat-evoked potential are summarized. These studies demonstrated that (a) cardio-afferent input is projected primarily to fronto-cortical areas; (b) typically  this activity is reflected as a broad positive wave form in a range of 300-600 ms after the EKG R-wave; (c) psychological factors such as level of attention and motivation exert influences on the heartbeat-evoked potential which are comparable to effects known from exteroceptive evoked potentials. On the basis of these data we infer that cardio-afferent input is for the most part transmitted along visceral fibers and that the cortical processing of cardiac activity is similar to the processing of external stimuli.,heartbeat-evoked[All Fields] AND potential[All Fields],8770371,,,JM,HH,0,,1,0,,1,1,,MP,JM,,,correlation with ecg; motivated vs not motivated,"ecg.correlatiion, intero.group",correlations with ecg; NOT ENOUGH DATA REPORTED?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schandry, Sparrer, Weitkunat",Schandry1987,1987,From the heart to the brain: a study of heartbeat contingent scalp potentials.,The International journal of neuroscience,Heartbeat perception has become the most widely studied example of visceral perception. In the present study scalp potentials contingent to the visceral event &quot;heartbeat&quot; were investigated. Scalp potentials  averaged time-locked to the EKG-R-wave  were studied at Fz  Cz  and Pz under four conditions: resting (baseline)  heartbeat discrimination task  signal detection task  and heartbeat discrimination task after physical exercise. 22 subjects were assigned to the two groups &quot;good&quot; and &quot;poor&quot; perceivers  according to their performance in an initial heartbeat perception test. Event related potentials (ERPs) of &quot;good&quot; perceivers were more stable across conditions than those of &quot;poor&quot; perceivers. Peak latency within the range of 200 to 300 ms differed significantly between conditions. A principal component analysis performed on the ERP averages extracted five components. Subsequent ANOVAs across factor scores yielded significant main effects for the &quot;groups&quot; factor  experimental conditions and electrode sites. The strongest effects occurred over the frontal region in the latency range of 250-400 ms (following the EKG-R-wave). These were found to be not due to artifactual EKG influences.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",3793380,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,good vs bad hbcounting,intero.group,good vs bad on task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schandry, Weitkunat",Schandry1991,1991,Enhancement of heartbeat-related brain potentials through cardiac awareness training.,The International journal of neuroscience,Heartbeat synchronous potentials were found to be sensitive to differences in perceptual accuracy. Since heartbeat perception can be improved using appropriate training procedures  increased ability to perceive cardiac performance should also influence heartbeat-related potentials. In the present study  subjects in either of two groups had to press a button immediately after the occurrence of a heartbeat-feedback tone. Whereas the first group was given acoustical heartbeat-feedback throughout the entire training  the second group was provided with tone signals that became fainter during the course of the training phases. The better posttraining performance in heartbeat perception of the group receiving full-intensity feedback was also reflected in the evoked potentials. They differed markedly before and after training  especially between 250 to 400 ms (after the EKG-R-wave)  the biggest effect being at Fz and F7. The findings are interpreted as the brain electrical reflection of an increased perception susceptibility to a cardiovascular signal occurring at about 200 ms after the R-wave.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",2265945,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,hb tapping training,intero.training,pre vs post training; real vs false feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schulz, Ferreira de Sá, Dierolf, Lutz, van Dyck, Vögele, Schächinger",Schulz2015a,2015,Short-term food deprivation increases amplitudes of heartbeat-evoked potentials.,Psychophysiology,Nutritional state (i.e.  fasting or nonfasting) may affect the processing of interoceptive signals  but mechanisms underlying this effect remain unclear. We investigated 16 healthy women on two separate days: when satiated (standardized food intake) and after an 18-h food deprivation period. On both days  heartbeat-evoked potentials (HEPs) and cardiac and autonomic nervous system activation indices (heart rate  normalized low frequency heart rate variability [nLF HRV]) were assessed. The HEP is an EEG pattern that is considered an index of cortical representation of afferent cardiovascular signals. Average HEP activity (R wave +455-595 ms) was enhanced during food deprivation compared to normal food intake. Cardiac activation did not differ between nutritional conditions. Our results indicate that short-term food deprivation amplifies an electrophysiological correlate of the cortical representation of visceral-afferent signals originating from the cardiovascular system. This effect could not be attributed to increased cardiac activation  as estimated by heart rate and nLF HRV  after food deprivation. ,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",25431244,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,hungry vs satiated,intero.group,hungry vs satiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schulz, Köster, Beutel, Schächinger, Vögele, Rost, Rauh, Michal",Schulz2015b,2015,Altered patterns of heartbeat-evoked potentials in depersonalization/derealization disorder: neurophysiological evidence for impaired cortical representation of bodily signals.,Psychosomatic medicine,OBJECTIVE: Core features of depersonalization/derealization disorder (DPD) are emotional numbing and feelings of disembodiment. Although there are several neurophysiological findings supporting subjective emotional numbing  the psychobiology of disembodiment remains unclear.METHODS: Heartbeat-evoked potentials (HEPs)  which are considered psychophysiological indicators for the cortical representation of afferent signals originating from the cardiovascular system  were assessed in 23 patients with DPD and 24 healthy control individuals during rest and while performing a heartbeat perception task.RESULTS: Absolute HEP amplitudes did not differ between groups. Nevertheless  healthy individuals showed higher HEPs during the heartbeat perception task than during rest  whereas no such effect was found in patients with DPD (p = .031). Patients with DPD had higher total levels of salivary α-amylase than did healthy individuals (9626.6 [8200.0] versus 5344.3 [3745.8] kU min/l; p = .029)  but there were no group differences in cardiovascular measures (heart rate = 76.2 [10.1] versus 74.3 [7.5] beats/min  p = .60; normalized low-frequency heart rate variability = 0.63 [0.15] versus 0.56 [0.15] normalized units  p = .099; low frequency/high frequency ratio = 249.3 [242.7] versus 164.8 [108.8]  p = .10)  salivary cortisol (57.5 [46.7] versus 55.1 [43.6] nmol min/l  p = .86)  or cortisone levels (593.2 [260.3] versus 543.8 [257.1] nmol min/l  p = .52).CONCLUSIONS: These results suggest altered cortical representation of afferent signals originating from the cardiovascular system in patients with DPD  which may be associated with higher sympathetic tone. These findings may reflect difficulties of patients with DPD to attend to their actual bodily experiences.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",25984819,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,hbcounting vs rest; patients vs ctl,"intero.attention, intero.group, intero.correlation","hb count vs rest; patients vs ctl; correlations hep accuracy, stress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schulz, Stammet, Dierolf, Vögele, Beyenburg, Werer, Devaux",Schulz2018,2018,Late heartbeat-evoked potentials are associated with survival after cardiac arrest.,Resuscitation,Cardiac arrest (CA) is a serious condition characterized by high mortality rates  even after initial successful resuscitation  mainly due to neurological damage. Whether brain-heart communication is associated with outcome after CA is unknown. Heartbeat-evoked brain potentials (HEPs) represent neurophysiological indicators of brain-heart communication. The aim of this study was to address the association between HEPs and survival after CA.</AbstractText>: Cardiac arrest (CA) is a serious condition characterized by high mortality rates  even after initial successful resuscitation  mainly due to neurological damage. Whether brain-heart communication is associated with outcome after CA is unknown. Heartbeat-evoked brain potentials (HEPs) represent neurophysiological indicators of brain-heart communication. The aim of this study was to address the association between HEPs and survival after CA.HEPs were calculated from resting EEG/ECG in 55 CA patients 24 h after resuscitation. All patients were treated with targeted temperature management and a standardized sedation protocol during assessment. We investigated the association between HEP amplitude (180-320 ms  455-595 ms  860-1000 ms) and 6-month survival.</AbstractText>: HEPs were calculated from resting EEG/ECG in 55 CA patients 24 h after resuscitation. All patients were treated with targeted temperature management and a standardized sedation protocol during assessment. We investigated the association between HEP amplitude (180-320 ms  455-595 ms  860-1000 ms) and 6-month survival.Twenty-five of 55 patients (45%) were still alive at 6-month follow-up. Survivors showed a higher HEP amplitude at frontopolar and frontal electrodes in the late HEP interval than non-survivors. This effect remained significant after controlling for between-group differences in terms of age  Fentanyl dose  and time lag between resuscitation and EEG assessment. There were no group differences in heart rate or heart rate variability.</AbstractText>: Twenty-five of 55 patients (45%) were still alive at 6-month follow-up. Survivors showed a higher HEP amplitude at frontopolar and frontal electrodes in the late HEP interval than non-survivors. This effect remained significant after controlling for between-group differences in terms of age  Fentanyl dose  and time lag between resuscitation and EEG assessment. There were no group differences in heart rate or heart rate variability.Brain-heart communication  as reflected by HEPs  is associated with survival after CA. Future studies should address the brain-heart axis in CA.</AbstractText>: Brain-heart communication  as reflected by HEPs  is associated with survival after CA. Future studies should address the brain-heart axis in CA.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",29447999,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,correlation between survival to stroke and HEP!,intero.group,HEP in survivors vs deceseased?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schulz, Strelzyk, Ferreira de Sá, Naumann, Vögele, Schächinger",Schulz2013,2013,Cortisol rapidly affects amplitudes of heartbeat-evoked brain potentials--implications for the contribution of stress to an altered perception of physical sensations?,Psychoneuroendocrinology,Little is known about the impact of stress and stress hormones on the processing of visceral-afferent signals. Clinical data suggest that cortisol may lower the threshold for interoceptive stimuli  while a pharmacological administration of cortisol decreases the sensitivity for physical symptoms. To clarify the role of cortisol for the processing of interoceptive signals  we investigated 16 healthy men on two occasions  once during the infusion of 4 mg of cortisol and once during the infusion of a placebo substance. Heartbeat-evoked potentials (HEP; derived from resting EEG and ECG  during open and closed eyes)  which are psychophysiological indicators for the cortical processing of cardioceptive signals  were measured over 6-min periods once before  and four times after the infusion (1-7  11-17  21-27 and 31-37 min). We found that HEP amplitudes were higher during open than during closed eyes between 1 and 17 min after cortisol infusion. There was no effect of cortisol on heart rate. We conclude that cortisol may rapidly modulate the cortical processing of cardioceptive neural signals. These results may have relevance for the effects of stress on the development and maintenance of psychosomatic symptoms.,"(""Heartbeat""[Journal] OR ""heartbeat""[All Fields]) AND (""evoked potentials""[MeSH Terms] OR (""evoked""[All Fields] AND ""potentials""[All Fields]) OR ""evoked potentials""[All Fields] OR (""evoked""[All Fields] AND ""potential""[All Fields]) OR ""evoked potential""[All Fields])",23850227,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,eyes open vs eyes closed; corticol injection,"intero.group, intero.arousal","cortisol vs placebo, baseline vs cortisol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sel, Azevedo, Tsakiris",Sel2018,2018,Heartfelt Self: Cardio-Visual Integration Affects Self-Face Recognition and Interoceptive Cortical Processing.,"Cerebral cortex (New York, N.Y. : 1991)",The sense of body-ownership relies on the representation of both interoceptive and exteroceptive signals coming from one's body. However  it remains unknown how the integration of bodily signals coming from &quot;outside&quot; and &quot;inside&quot; the body is instantiated in the brain. Here  we used a modified version of the Enfacement Illusion to investigate whether the integration of visual and cardiac information can alter self-face recognition (Experiment 1) and neural responses to heartbeats (Experiment 2). We projected a pulsing shade  that was synchronous or asynchronous with the participant's heartbeat  onto a picture depicting the participant's face morphed with the face of an unfamiliar other. Results revealed that synchronous (vs. asynchronous) cardio-visual stimulation led to increased self-identification with the other's face (Experiment 1)  while during stimulation  synchronicity modulated the amplitude of the Heartbeat Evoked Potential  an electrophysiological index of cortical interoceptive processing (Experiment 2). Importantly  the magnitude of the illusion-related effects was dependent on  and increased linearly  with the participants' Interoceptive Accuracy. These results provide the first direct neural evidence for the integration of interoceptive and exteroceptive signals in bodily self-awareness.,heartbeat-evoked[All Fields] AND potential[All Fields],28334126,,,JM,HH,0,,1,0,,1,1,,HH,JM,,,synchonous vs asynchronous face stuff,"intero.attention, intero.correlation",sync vs async touch; sync exp vs synx control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
