arous_studycode_FINAL,arous_lowinter_FINAL,arous_highinter_FINAL,arous_test_FINAL,arous_timewin_FINAL,arous_locations_FINAL,arous_dfeffect_FINAL,arous_dferror_FINAL,arous_fvalue_FINAL,arous_direction_FINAL,arous_inter_FINAL,arous_interfactor_FINAL,att_nonsigassumed_FINAL,arous_notes_FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F null,
Marshall2017exp1,neutral_repetition,angry_repetition,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,24,12.02,arousal is higher,yes,valence x trial interaction,0,report enhancement but graph shows neutral + negative; Maybe we should just pick one effect per study for this paper (e.g. repeated neutral vs repeated angry); I presume as they did a permutation test though that it is non-sig for all other time windows they looked at and all the other locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.466777298,12.01854483
Marshall2017exp2,repeated_neutral_cued,repeat_angry_cued,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,23,14.19500568,aorousal is higher,yes,valence x trial interaction; block x trial x valence,0,report enhancement but graph shows neutral + negative; Maybe we should just pick one effect per study for this paper (e.g. repeated neutral vs repeated angry); I presume as they did a permutation test though that it is non-sig for all other time windows they looked at and all the other locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2017exp2,repeated_neutral_cued,repeat_neutral_notcued,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,23,10.22568181,aorousal is higher,yes,valence x trial interaction; block x trial x valence,0,report enhancement but graph shows neutral + negative; Maybe we should just pick one effect per study for this paper (e.g. repeated neutral vs repeated angry); I presume as they did a permutation test though that it is non-sig for all other time windows they looked at and all the other locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2017exp2,repeated_neutral_notcued,repeat_angry_notcued,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,23,6.761434897,aorousal is higher,yes,valence x trial interaction; block x trial x valence,0,report enhancement but graph shows neutral + negative; Maybe we should just pick one effect per study for this paper (e.g. repeated neutral vs repeated angry); I presume as they did a permutation test though that it is non-sig for all other time windows they looked at and all the other locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2018exp1,neutral_repetition,angry_repetition,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,24,21.3444,arousal is lower,none,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2018exp1,neutral_repetition,pained_repetition,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,24,1.7689,arousal is higher,none,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2018exp2,neutral_repetition,sad_repetition,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,24,5.8564,arousal is higher,none,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall2018exp2,neutral_repetition,happy_repetition,ttest,200-300,F1-FZ-F2-FC1-FCZ-FC2,1,24,1.9881,arousal is lower,none,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shao2011,control,pained_repetition,anova,200-600,FP1-F7-F3; FP2-F8-F4; FT7-FC3-T7-C3-TP7-CP3; FT8-FC4-T8-C4-TP8-CP4; P7-P3-O1; P8-P4-O2; FZ-FCZ-CZ-CPZ-PZ-OZ,1,20,0.47; 4.35;4.35; 4.35; 0.47; 4.35;4.35,arousal is lower,none,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park2016,nostroking,asyncstroking,permttest,250-305,FPZ-AFZ-FZ-FCZ-CZ-C1-C3-FC1-FC3-FC2-F1-F2-F4-AFZ-AF4,1,15,9.86,arousal is lower,none,none,,electrodes deduced from figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park2016,syncstroke,asyncstroking,permttest,250-305,FPZ-AFZ-FZ-FCZ-CZ-C1-C3-FC1-FC3-FC2-F1-F2-F4-AFZ-AF4,1,15,11.23,arousal is lower,none,none,,electrodes deduced from figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schulz2013,cortisol,placebo,ttest,455-595,FP1-FP2-F3-FZ-F4-FC7-FC2-FC4-FC8-T7-T1-T2-T8-C3-CZ-C4-CP5-CP1-CP2-CP6-P7-P3-PZ-P4-P8-O1-OZ-O2-A1-A2,1,15,2.52,hard to tell,yes,"3-way interaction ‘substance’ × ‘time of measurement’ × ‘eyes’ (F[4,60] = 3.12; p = .036; η2 = .17).",0,no main effect of substance nor a substance x session interaction. Only if we include eyes open or closed. Should I be adding this in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sel2018,control syn,experimental sync,permttest,195-289,FC4-FC6-C4-C6,1,24,9.55,arousal is lower,no,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
